--------- beginning of crash
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-commit-id:722d4d057786ee46754f9b77939cdc75d12fa06f
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-change-id:I4573b37dc671335b64083430a22026f187852e25
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-merge-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.373  1212  1317 I libGLES_mali: mtk-brm-commit-id:b8cb4240da48dc7bb5e0797774fab31af08ef59d
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-change-id:Iba9e1f53e8a0b631534505f1ee6bc05742c31af5
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-merge-id:none
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-commit-id:8783a29bae0ae84a456239f3212f27bdafa94c91
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-change-id:Iee598bb542f5de895a4b71649fbc79b2d93bc3de
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-merge-id:none
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:56.922  1437  1437 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-merge-id:none
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-commit-id:9504ca4d9fe90b18cc868bffca3317a0b06d4f0e
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-change-id:I1329c9c99dd4a140cd413bfc9aec757077413c57
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-merge-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 18:09:01.103  5976  5976 E AndroidRuntime: FATAL EXCEPTION: main
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Process: com.zarz.spotiflac, PID: 5976
07-11 18:09:01.103  5976  5976 E AndroidRuntime: java.lang.RuntimeException: Unable to stop service com.ryanheise.audioservice.AudioService@a52b5e0: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5239)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.-$$Nest$mhandleStopService(ActivityThread.java:0)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2519)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:107)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:234)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:319)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:8754)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:602)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:962)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Caused by: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at uu0.r(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:3)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at io.flutter.embedding.engine.FlutterJNI.ensureAttachedToNative(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:8)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at io.flutter.embedding.engine.FlutterJNI.detachFromNativeAndReleaseResources(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:4)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at io.flutter.embedding.engine.FlutterEngine.destroy(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:65)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at com.ryanheise.audioservice.AudioServicePlugin.disposeFlutterEngine(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:42)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at com.ryanheise.audioservice.AudioService.onDestroy(r8-map-id-e4d34d447d0b66877a03657ce32db989cf4e9aad2cfe32d24b1a6e44a3c21915:9)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5219)
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	... 9 more
07-11 18:11:11.042 10487 10540 E AndroidRuntime: FATAL EXCEPTION: DefaultDispatcher-worker-8
07-11 18:11:11.042 10487 10540 E AndroidRuntime: Process: com.kaon.music, PID: 10487
07-11 18:11:11.042 10487 10540 E AndroidRuntime: android.database.sqlite.SQLiteConstraintException: FOREIGN KEY constraint failed (code 787 SQLITE_CONSTRAINT_FOREIGNKEY)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.nativeExecute(Native Method)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.execute(SQLiteConnection.java:743)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at android.database.sqlite.SQLiteSession.execute(SQLiteSession.java:645)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at android.database.sqlite.SQLiteStatement.execute(SQLiteStatement.java:47)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.sqlite.db.framework.FrameworkSQLiteStatement.execute(FrameworkSQLiteStatement.android.kt:30)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.sqlite.driver.SupportSQLiteStatement$OtherSQLiteStatement.step(SupportSQLiteStatement.android.kt:588)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.EntityInsertAdapter.insert(EntityInsertAdapter.kt:59)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.EntityUpsertAdapter.upsert(EntityUpsertAdapter.kt:75)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl.upsertSongs$lambda$0(LibrarySyncDao_Impl.kt:226)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl$$ExternalSyntheticLambda2.invoke(D8$$SyntheticClass:0)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invokeSuspend(DBUtil.kt:61)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invoke(DBUtil.kt:8)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invoke(DBUtil.kt:4)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.transaction(PassthroughConnectionPool.kt:127)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.access$transaction(PassthroughConnectionPool.kt:77)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invokeSuspend(PassthroughConnectionPool.kt:103)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:8)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:2)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt.compatTransactionCoroutineExecute(RoomDatabase.android.kt:2184)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt.compatTransactionCoroutineExecute(dex-id-5bc828ba2ea77a9ed984f9935d099211cf6cd6e7:1)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase$createConnectionManager$3.invoke(RoomDatabase.android.kt:338)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase$createConnectionManager$3.invoke(RoomDatabase.android.kt:338)
